geoid,distance
7020681,1068
7020682,933
7020683,797
7020684,778
7020685,1248
7020686,862
7020687,974
7020688,550
7020689,1050
7020690,1021
7020691,697
7020692,952
7020693,1371
7020694,1277
7020695,1752
7020697,475
7020698,654
7020699,975
7020700,1421
7020701,4602
7020702,5516
7020703,2501
7020715,404
7020716,686
7020704,2281
7020705,3449
7020706,2008
7020707,2011
7020708,1117
7020709,787
7020710,316
7020711,26
7020712,227
7020713,361
7020714,1008
7021244,370
7020717,1110
7020718,1042
7020719,663
7020720,349
7020721,1032
7020722,956
7020723,1255
7020724,1470
7020725,1359
7020726,1460
7020731,1492
7020732,1490
7020733,1610
7020754,2280
7020801,782
7020727,5688
7020728,1028
7020730,1268
7020774,1023
7020734,1905
7020736,1261
7020737,640
7020738,589
7020739,846
7020740,400
7020741,354
7020742,58
7020743,460
7020744,788
7020745,728
7020746,652
7020747,1025
7020748,1082
7020802,777
7020749,678
7020750,1896
7020751,752
7020752,42
7020753,2253
7020755,2298
7020756,2221
7020757,1283
7020758,766
7020759,828
7020760,1146
7020761,731
7020775,389
7020776,491
7020777,1641
7020762,1208
7020763,1262
7020764,1559
7020765,1387
7020766,1612
7020767,1198
7020768,1374
7020769,1189
7020770,1020
7020771,998
7020772,1038
7020773,1000
7020778,106
7020783,1287
7020784,1305
7020785,471
7020786,796
7020787,973
7020788,768
7020789,535
7020790,181
7020791,247
7020792,231
7020793,468
7020794,847
7020795,928
7020796,967
7020797,155
7020798,746
7020799,781
7020800,645
7020803,892
7020804,1359
7020805,1450
7020806,477
7020807,588
7020808,858
7020809,563
7020810,1119
7020811,1039
7020812,1203
7020813,1403
7020814,1708
7020815,288
7020816,1246
7021550,286
7020817,1260
7020818,831
7020819,1238
7020820,1048
7020821,1167
7020822,1578
7020823,908
7020824,1293
7020825,278
7020826,111
7020827,181
7020828,595
7020829,1431
7020830,587
7020831,848
7020832,1565
7020833,1675
7020834,8234
7020837,2066
7020911,558
7020835,6379
7020836,11502
7020847,830
7021245,867
7020838,2783
7021385,722
7020839,3853
7020848,969
7020849,666
7020850,843
7020851,2492
7020840,2120
7020841,1430
7020842,927
7020843,1513
7020844,1496
7020845,1409
7020846,457
7020852,2165
7020854,1745
7020855,2560
7020856,2380
7020857,1850
7020858,1755
7020859,1385
7020860,1248
7020861,1427
7020862,998
7020863,710
7020864,968
7020927,1645
7020865,578
7020866,813
7020867,549
7020868,987
7020869,706
7020870,759
7020871,1167
7020872,1125
7020873,1336
7020874,811
7020875,1099
7020905,245
7020876,1693
7020877,896
7020878,922
7020879,580
7020880,1155
7020881,844
7020882,1197
7020883,1267
7020884,853
7020885,1182
7020886,977
7020887,298
7020888,1014
7020889,306
7020906,720
7020907,840
7020890,417
7020891,897
7020892,316
7020893,510
7020894,774
7020895,668
7020896,880
7020897,884
7020898,1114
7020899,1039
7020900,829
7020901,667
7020902,235
7020903,156
7020904,95
7020912,615
7020913,785
7020914,942
7020915,1034
7020916,1137
7020917,1131
7020918,670
7020919,1016
7020920,1141
7020921,1163
7020922,1450
7020923,1904
7020924,1254
7020925,1631
7020926,1690
7020928,1972
7020929,1331
7020930,1950
7020931,1213
7020932,1586
7020933,1620
7020934,1300
7020935,1322
7020936,1030
7020937,1303
7020949,916
7021086,867
7020938,2562
7020939,805
7020940,743
7020941,836
7020942,553
7020943,360
7020944,68
7020945,1300
7020946,753
7020947,568
7020948,507
7021963,426
7020950,1307
7020951,964
7020952,688
7020953,846
7020954,1143
7020955,898
7020956,992
7020957,1141
7020958,1466
7020959,1667
7020960,1725
7020961,1498
7020962,1113
7020963,1495
7021087,586
7020964,1428
7020965,1326
7020966,754
7020967,1069
7020968,458
7020969,479
7020970,753
7020971,1119
7020972,1048
7020973,1702
7020985,1238
7021029,1725
7020974,3695
7020975,1113
7020976,1094
7020977,1317
7020978,1162
7020979,1476
7020980,1476
7020981,1269
7020982,1164
7020983,995
7020984,902
7020986,1540
7020987,569
7020988,797
7020989,1487
7020990,827
7020991,1628
7020992,1637
7020993,1320
7020994,1557
7020995,1792
7020996,573
7020997,646
7020998,922
7021012,838
7020999,518
7021000,1487
7021001,1042
7021002,1208
7021003,1609
7021004,1397
7021005,1462
7021006,1234
7021007,1394
7021008,1338
7021009,1560
7021010,1264
7021011,1457
7021045,1844
7021013,864
7021014,798
7021015,678
7021016,662
7021017,1956
7021018,111
7021019,710
7021020,0
7021021,877
7021022,451
7021023,815
7021024,580
7021025,1212
7021026,7368
7021027,852
7021028,1528
7021070,780
7021030,954
7021031,795
7021032,1282
7021033,908
7021034,1175
7021035,1129
7021036,842
7021037,468
7021038,681
7021039,178
7021040,683
7021041,337
7021042,263
7021043,392
7021044,1035
7021047,1678
7021048,1816
7021049,709
7021050,2394
7021051,2432
7021052,637
7021053,365
7021054,156
7021055,1610
7021056,1328
7021071,1042
7021057,1093
7021058,1021
7021059,952
7021060,675
7021061,755
7021062,1002
7021063,642
7021064,2201
7021065,2047
7021066,1661
7021067,1220
7021068,1398
7021069,248
7021126,3082
7021072,1135
7021073,1357
7021074,1448
7021075,1231
7021076,1581
7021077,1101
7021078,1735
7021079,1046
7021080,2045
7021081,1199
7021082,1439
7021083,1036
7021084,761
7021085,844
7021445,906
7021088,800
7021089,797
7021090,1499
7021091,748
7021092,1016
7021093,851
7021094,6636
7021095,1307
7021096,1380
7021097,1067
7021384,1384
7021098,1280
7021099,1213
7021100,1348
7021101,791
7021102,377
7021103,403
7021104,884
7021105,441
7021106,174
7021107,529
7021108,249
7021109,580
7021110,439
7021111,505
7021112,751
7021113,816
7021114,748
7021115,1041
7021446,979
7021116,744
7021117,616
7021118,74
7021119,1109
7021120,757
7021121,919
7021122,1366
7021123,1715
7021124,2317
7021125,2820
7021127,3385
7021128,2424
7021129,1376
7021130,1687
7021131,1610
7021132,1827
7021133,1965
7021134,1798
7021135,2049
7021136,1792
7021137,1402
7021138,1662
7021139,1706
7020225,718
7021140,1291
7021141,1884
7021142,1455
7021143,1810
7021144,2212
7021145,2353
7021147,318
7021148,2655
7021165,436
7020226,710
7021149,2889
7021150,4786
7021151,5997
7021152,1329
7021193,284
7021153,742
7021154,1073
7021155,630
7021156,926
7021157,238
7021158,784
7021159,319
7021160,512
7021161,857
7021162,528
7021163,405
7021164,728
7021166,344
7021167,939
7021168,1115
7021169,922
7021170,1166
7021171,996
7021172,1050
7021173,1021
7021174,1259
7021175,1035
7021176,2888
7021177,2533
7021191,546
7021178,1755
7021179,1873
7021180,1703
7021181,1174
7021182,1012
7021183,918
7021184,758
7021185,1478
7021186,1084
7021187,2254
7021188,766
7021189,774
7021190,525
7021192,300
7021194,618
7021195,655
7021196,813
7021197,1325
7021198,1351
7021199,1290
7021200,1019
7021201,906
7021202,142
7021203,873
7021204,546
7021205,966
7021206,436
7021207,1215
7021220,991
7021221,988
7021208,1058
7021209,1363
7021210,1803
7021211,1205
7021212,1602
7021213,1533
7021214,1350
7021215,1298
7021216,815
7021217,1357
7021218,1236
7021219,689
7021225,1210
7021226,1280
7021227,1342
7021228,470
7021229,885
