,x,y,state,scenario
2,20.0,134483.0,CA,high
3,30.0,60660.0,CA,high
4,40.0,27775.0,CA,high
5,50.0,14312.0,CA,high
6,60.0,5756.0,CA,high
7,70.0,2714.0,CA,high
8,80.0,1030.0,CA,high
9,90.0,0.0,CA,high
10,100.0,0.0,CA,high
11,110.0,0.0,CA,high
12,120.0,0.0,CA,high
0,0.0,208933.0,NY,high
1,10.0,679342.0,NY,high
2,20.0,53212.0,NY,high
3,30.0,60289.0,NY,high
4,40.0,87322.0,NY,high
5,50.0,318517.0,NY,high
6,60.0,5661.0,NY,high
7,70.0,180.0,NY,high
8,80.0,8267.0,NY,high
9,90.0,19123.0,NY,high
10,100.0,0.0,NY,high
11,110.0,0.0,NY,high
12,120.0,6846.0,NY,high
0,0.0,1773131.0,FL,high
1,10.0,2213009.0,FL,high
2,20.0,2681344.0,FL,high
3,30.0,350823.0,FL,high
4,40.0,169433.0,FL,high
5,50.0,36673.0,FL,high
6,60.0,18051.0,FL,high
7,70.0,7945.0,FL,high
8,80.0,3553.0,FL,high
9,90.0,24.0,FL,high
10,100.0,458.0,FL,high
11,110.0,625.0,FL,high
12,120.0,3592.0,FL,high
0,0.0,117639.0,NC,high
1,10.0,95511.0,NC,high
2,20.0,41261.0,NC,high
3,30.0,19285.0,NC,high
4,40.0,31825.0,NC,high
5,50.0,4583.0,NC,high
6,60.0,11567.0,NC,high
7,70.0,20287.0,NC,high
8,80.0,1041.0,NC,high
9,90.0,2013.0,NC,high
10,100.0,93.0,NC,high
11,110.0,653.0,NC,high
12,120.0,26.0,NC,high
0,0.0,86478.0,CT,high
1,10.0,14954.0,CT,high
2,20.0,18214.0,CT,high
3,30.0,33974.0,CT,high
4,40.0,370.0,CT,high
5,50.0,3280.0,CT,high
6,60.0,8582.0,CT,high
7,70.0,1851.0,CT,high
8,80.0,0.0,CT,high
9,90.0,0.0,CT,high
10,100.0,0.0,CT,high
11,110.0,0.0,CT,high
12,120.0,15.0,CT,high
0,0.0,161926.0,LA,high
1,10.0,316683.0,LA,high
2,20.0,17583.0,LA,high
3,30.0,62125.0,LA,high
4,40.0,3876.0,LA,high
5,50.0,620.0,LA,high
6,60.0,12410.0,LA,high
7,70.0,810.0,LA,high
8,80.0,0.0,LA,high
9,90.0,0.0,LA,high
10,100.0,0.0,LA,high
11,110.0,0.0,LA,high
12,120.0,2975.0,LA,high
0,0.0,2397.0,ME,high
1,10.0,3774.0,ME,high
2,20.0,594.0,ME,high
3,30.0,8119.0,ME,high
4,40.0,39746.0,ME,high
5,50.0,5186.0,ME,high
6,60.0,0.0,ME,high
7,70.0,0.0,ME,high
8,80.0,0.0,ME,high
9,90.0,0.0,ME,high
10,100.0,15.0,ME,high
