,rise,geoid_county,U7B001,U7C005,U7B004,U7C002,U7G001,state_code,state_name
215,0,48245,1133.0,63.0,987.0,62.0,516.0,TX,Texas
216,0,48321,28.0,16.0,4.0,5.0,125.0,TX,Texas
217,0,48355,340.0,226.0,9.0,78.0,357.0,TX,Texas
218,0,48361,888.0,625.0,3.0,226.0,407.0,TX,Texas
219,0,48409,32.0,11.0,0.0,20.0,36.0,TX,Texas
220,0,48489,2.0,1.0,0.0,1.0,13.0,TX,Texas
221,0,51001,668.0,579.0,43.0,21.0,636.0,VA,Virginia
222,0,51036,22.0,9.0,2.0,1.0,9.0,VA,Virginia
223,0,51093,671.0,593.0,33.0,11.0,305.0,VA,Virginia
224,0,51095,35.0,8.0,5.0,8.0,7.0,VA,Virginia
225,0,51099,611.0,509.0,59.0,3.0,268.0,VA,Virginia
226,0,51101,162.0,137.0,7.0,2.0,69.0,VA,Virginia
227,0,51103,49.0,45.0,0.0,2.0,31.0,VA,Virginia
228,0,51115,130.0,123.0,5.0,0.0,82.0,VA,Virginia
229,0,51127,39.0,27.0,11.0,1.0,16.0,VA,Virginia
230,0,51131,50.0,26.0,14.0,7.0,29.0,VA,Virginia
231,0,51133,8.0,6.0,2.0,0.0,1.0,VA,Virginia
232,0,51149,335.0,233.0,20.0,51.0,173.0,VA,Virginia
233,0,51175,16.0,11.0,5.0,0.0,5.0,VA,Virginia
234,0,51181,33.0,19.0,10.0,1.0,13.0,VA,Virginia
235,0,51193,77.0,64.0,2.0,4.0,77.0,VA,Virginia
236,0,51199,535.0,379.0,75.0,15.0,188.0,VA,Virginia
237,0,51510,588.0,379.0,114.0,44.0,445.0,VA,Virginia
238,0,51550,1241.0,718.0,312.0,69.0,506.0,VA,Virginia
239,0,51650,852.0,428.0,325.0,27.0,385.0,VA,Virginia
240,0,51670,8.0,0.0,3.0,2.0,1.0,VA,Virginia
241,0,51700,115.0,81.0,13.0,7.0,47.0,VA,Virginia
242,0,51710,1101.0,680.0,366.0,42.0,715.0,VA,Virginia
243,0,51730,4.0,2.0,0.0,1.0,1.0,VA,Virginia
244,0,51735,175.0,166.0,0.0,3.0,76.0,VA,Virginia
245,0,51740,161.0,127.0,16.0,10.0,84.0,VA,Virginia
246,0,51800,152.0,126.0,9.0,6.0,63.0,VA,Virginia
247,0,51810,4494.0,3481.0,269.0,278.0,1859.0,VA,Virginia
248,0,53009,18.0,13.0,0.0,1.0,8.0,WA,Washington
249,0,53011,163.0,101.0,2.0,27.0,50.0,WA,Washington
250,0,53015,15906.0,12045.0,198.0,1879.0,6712.0,WA,Washington
251,0,53027,1109.0,832.0,8.0,173.0,537.0,WA,Washington
252,0,53029,1665.0,1357.0,28.0,104.0,1051.0,WA,Washington
