,rise,state_code,U7B001,U7C005,U7B004,U7C002,state_name,U7B001_total,U7B001_percentage
59,10,FL,6228659.905168646,2473256.344842169,930451.0776705202,2503027.702223054,Florida,21538187,28.9
60,1,GA,3118.492833176102,2079.86787646581,475.52685778238174,263.3543447147047,Georgia,10711908,0.0
61,2,GA,7339.64629483802,5131.438236001883,1050.2358049702536,587.8740681206536,Georgia,10711908,0.1
62,3,GA,16875.592325616577,12377.472183066071,2161.2440528185525,1214.7872085270403,Georgia,10711908,0.2
63,4,GA,29390.20772882285,21632.59492133242,3870.7086441828287,2011.3340910488848,Georgia,10711908,0.3
64,5,GA,44896.949834177794,32377.695768805563,6675.78745125127,3031.0896979884133,Georgia,10711908,0.4
65,6,GA,64606.343650412644,45341.33750080037,10922.461555401984,4272.46187085459,Georgia,10711908,0.6
66,7,GA,82637.8474929512,57340.166338314586,14491.215988495327,5484.448720314854,Georgia,10711908,0.8
67,8,GA,106113.9228837005,72144.54493576076,19950.360282355243,7180.303922070083,Georgia,10711908,1.0
68,9,GA,134139.66509671547,88711.2508994753,27794.824010132263,9098.178458232469,Georgia,10711908,1.3
69,10,GA,162753.08780913503,104702.92271169662,36298.19429064662,11292.269966413602,Georgia,10711908,1.5
70,1,HI,715.3009002604085,271.1415666052085,11.719651540786678,63.61246844944671,Hawaii,1455271,0.0
71,2,HI,2564.1868926219277,825.0574126513003,42.26977605928111,211.20396286526645,Hawaii,1455271,0.2
72,3,HI,16721.768106609252,3909.692741254167,283.40811990811324,1120.740076923481,Hawaii,1455271,1.1
73,4,HI,39843.92361054245,9096.757159186183,706.3718930930692,2953.9172714627166,Hawaii,1455271,2.7
74,5,HI,60465.03594409435,14022.043913069963,1038.9989061087704,4772.587582396994,Hawaii,1455271,4.2
75,6,HI,87178.70279749061,20757.733524936626,1453.0976100884975,7099.037218705684,Hawaii,1455271,6.0
76,7,HI,113459.66160807137,28358.57277213649,1842.1177953009696,9661.982406344734,Hawaii,1455271,7.8
77,8,HI,139399.84029383596,35811.416305086954,2251.3093942789683,12153.357649164303,Hawaii,1455271,9.6
78,9,HI,158612.3816770335,40790.49866270393,2531.0555284214965,14240.488809755328,Hawaii,1455271,10.9
79,10,HI,174440.64457469725,45104.73835192144,2780.9585098296106,15881.780340860692,Hawaii,1455271,12.0
80,1,LA,44526.83096435204,32314.997716980986,4975.976206247968,3121.564959220456,Louisiana,4657757,1.0
81,2,LA,80579.10972429397,58329.20689317999,9764.667722544556,5386.949222545991,Louisiana,4657757,1.7
82,3,LA,126997.50008228025,90883.77638806819,17470.08266349852,8251.650121292474,Louisiana,4657757,2.7
83,4,LA,177598.0765327798,123938.44204791472,28456.905766454827,11440.993882863897,Louisiana,4657757,3.8
84,5,LA,234180.10029246405,159042.26277662755,42369.91411302763,15296.84082926255,Louisiana,4657757,5.0
85,6,LA,287536.54407051124,193042.8855582151,54805.90295103943,18870.526585753312,Louisiana,4657757,6.2
86,7,LA,337416.0627776211,225041.80944307454,66615.94186621139,22060.508466216605,Louisiana,4657757,7.2
87,8,LA,385803.49690108694,255754.59977755015,78496.07070691827,25163.02610433054,Louisiana,4657757,8.3
88,9,LA,437521.4096094981,287097.7332445553,92912.25779883191,28456.12110731267,Louisiana,4657757,9.4
89,10,LA,497832.2248087762,323426.69519093,110299.16191380132,31869.471768539617,Louisiana,4657757,10.7
90,1,ME,691.2911905588885,614.3748768113363,6.810706761051172,16.601717343161265,Maine,1362359,0.1
91,2,ME,1145.5244572067247,1013.4300826104086,17.899059535568856,39.28412869624918,Maine,1362359,0.1
92,3,ME,1944.8483299773081,1724.6873272162707,33.332238433333146,56.28129674583516,Maine,1362359,0.1
93,4,ME,3137.314019918901,2787.1005358912284,49.46046599056209,89.55372349986934,Maine,1362359,0.2
94,5,ME,5054.8280192343955,4368.249406848101,204.88028436519448,145.1119490798979,Maine,1362359,0.4
95,6,ME,7326.7582205066155,6165.892701325392,485.5633657868896,206.98918393141034,Maine,1362359,0.5
96,7,ME,9540.473146383722,8080.068630341545,595.6119637289843,271.2199749383663,Maine,1362359,0.7
97,8,ME,11821.47920978663,10096.110356699286,673.14144284874,334.3592513140742,Maine,1362359,0.9
98,9,ME,14374.986816441107,12280.611599151716,797.6839753192398,408.4923918287838,Maine,1362359,1.1
99,10,ME,16687.632462978756,14306.959539478317,863.2138888902864,484.1938315218139,Maine,1362359,1.2
100,1,MD,3211.3604322374545,2640.3038630093115,229.47182175227692,122.32976825179476,Maryland,6177224,0.1
